indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson
2025-05,5100,30-66877242-7,JOAQUIN ALVAREZ S.A.,RUTA NAC. Nª 7 - KM. 490,LABOULAYE,CORDOBA,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1359.0,2025-05-05 19:00:00,4,SHELL C.A.P.S.A.,-34.146077,-63.39569,"{""type"":""Point"",""coordinates"":[-63.39569,-34.146077]}"
2025-06,3017,27-04949274-5,ROMANO CARMEN ROSA,Rua Nacinal 34 1153,LOS LAPACHOS,JUJUY,NOA,21,Gas Oil Grado 3,2,Diurno,1477.0,2025-06-01 00:00:00,2,YPF,-24.53117,-65.07605,"{""type"":""Point"",""coordinates"":[-65.07605,-24.53117]}"
2025-06,7063,33-70940148-9,CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO,AVDA ESCALADA 2951,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1405.0,2025-06-01 00:00:00,2,YPF,-34.66513,-58.46978,"{""type"":""Point"",""coordinates"":[-58.46978,-34.66513]}"
2025-09,5917,30-70803797-0,ESTACION RUTA 8 Y PANAMERICANA SRL,"ruta 8 57,200",PILAR,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1044.0,2025-09-01 18:24:00,26,AXION,-34.452591,-58.944724,"{""type"":""Point"",""coordinates"":[-58.944724,-34.452591]}"
2025-03,1808,30-54193945-4,CAMAN SRL,RUTA NAC 5 KM 67.700,LUJAN,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1512.0,2025-03-05 16:08:00,6,DAPSA S.A.,-34.58587,-59.11153,"{""type"":""Point"",""coordinates"":[-59.11153,-34.58587]}"
2025-11,231,33-65844555-9,SUCESORES DE LUIS S.A. TRAVERSO S. H.,españa y 9 de julio sin numero,NOGOYA,ENTRE RIOS,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1925.0,2025-11-01 10:04:00,4,SHELL C.A.P.S.A.,-32.39234,-59.78721,"{""type"":""Point"",""coordinates"":[-59.78721,-32.39234]}"
2025-07,587,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,AV. SANTA FE 705,RAFAELA,SANTA FE,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1572.0,2025-07-20 00:00:00,2,YPF,-31.25373,-61.4838,"{""type"":""Point"",""coordinates"":[-61.4838,-31.25373]}"
2025-06,3153,20-16343951-5,"IACONO,  RAFAEL",RAMON FRANCO Nº 6287,WILDE,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1224.0,2025-06-01 00:00:00,2,YPF,-34.69876,-58.30951,"{""type"":""Point"",""coordinates"":[-58.30951,-34.69876]}"
2025-07,4812,30-70868888-2,CRISTINA ISABELLI DE MARTINEZ E HIJOS S.H,juramento 3411,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1409.0,2025-07-03 14:42:00,6,DAPSA S.A.,-34.56813,-58.46634,"{""type"":""Point"",""coordinates"":[-58.46634,-34.56813]}"
2025-05,3423,30-69983764-0,G.N.C.CENTRO S.R.L.,Entre Rios 1126,CONCORDIA,ENTRE RIOS,CENTRO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1540.0,2025-05-01 15:05:00,4,SHELL C.A.P.S.A.,-31.38851,-58.01696,"{""type"":""Point"",""coordinates"":[-58.01696,-31.38851]}"
2025-07,5080,33-59794471-9,INTEGRAL ESTACION SOLA S.A.,AUSTRALIA 2550,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1550.0,2025-07-21 14:29:00,1,BLANCA,-34.6460366684544,-58.382975219574,"{""type"":""Point"",""coordinates"":[-58.382975219574,-34.6460366684544]}"
2025-06,3992,30-70831151-7,JUTE S.R.L.,Ruta Nacional 89 Km. 380.3,QUIMILI,SANTIAGO DEL ESTERO,NOA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1244.0,2025-06-01 00:00:00,2,YPF,-27.65603,-62.41118,"{""type"":""Point"",""coordinates"":[-62.41118,-27.65603]}"
2025-10,5158,20-12629130-3,POCHAT CRISTIAN SIMON,RUTA 8 KM 224,PERGAMINO,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1824.0,2025-10-04 06:00:00,4,SHELL C.A.P.S.A.,-33.911637,-60.565819,"{""type"":""Point"",""coordinates"":[-60.565819,-33.911637]}"
2025-07,4153,30-66809364-3,AUTOGAS S.R.L.,AV ACOSTA VILLAFAÑEZ 1800,SAN FERNANDO DEL VALLE,CATAMARCA,NOA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1528.0,2025-07-01 00:00:00,2,YPF,-28.466517,-65.760397,"{""type"":""Point"",""coordinates"":[-65.760397,-28.466517]}"
2025-05,4123,30-67992061-4,AGROMERIDIANO S.A,RUTA 70 Y ACCESO A GLEZ. MORENO,GONZALEZ MORENO,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1463.0,2025-05-14 00:00:00,2,YPF,-35.54513,-63.37893,"{""type"":""Point"",""coordinates"":[-63.37893,-35.54513]}"
2025-06,7063,33-70940148-9,CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO,AVDA ESCALADA 2951,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1191.0,2025-06-01 00:00:00,2,YPF,-34.66513,-58.46978,"{""type"":""Point"",""coordinates"":[-58.46978,-34.66513]}"
2025-06,7767,33-70810905-9,EL GUAYACAN S.A.,Ruta Provincial 6 Acceso Sud,SACHAYOJ,SANTIAGO DEL ESTERO,NOA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1257.0,2025-06-01 09:56:00,28,PUMA,-26.68089,-61.81761,"{""type"":""Point"",""coordinates"":[-61.81761,-26.68089]}"
2025-06,1069,30-67877449-5,OPESSA,AV MATE DE LUNA Y EJERCITO DEL NORTE,S.M. DE TUCUMAN,TUCUMAN,CUYO,21,Gas Oil Grado 3,3,Nocturno,1451.0,2025-06-01 00:00:00,2,YPF,-26.82559,-65.23188,"{""type"":""Point"",""coordinates"":[-65.23188,-26.82559]}"
2025-06,123,30-69180080-2,SERVICENTRO LOS VALLES SRL,RUTA 307 KM 51 (EL MOLLAR),TAFI DEL VALLE,TUCUMAN,CUYO,19,Gas Oil Grado 2,2,Diurno,1315.0,2025-06-01 00:00:00,2,YPF,-26.936247,-65.675995,"{""type"":""Point"",""coordinates"":[-65.675995,-26.936247]}"
2025-06,3375,30-55756040-4,KILOMETRO 352 S.R.L.,JUAN BAUTISTA ALBERDI 908,CARCARAÑA,SANTA FE,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1454.0,2025-06-01 00:00:00,2,YPF,-32.86138,-61.15872,"{""type"":""Point"",""coordinates"":[-61.15872,-32.86138]}"
2025-06,7076,30-51877114-7,PETROLERA JUJUY S.A.,DORREGO 202,SAN SALVADOR DE JUJUY,JUJUY,NOA,19,Gas Oil Grado 2,2,Diurno,1407.0,2025-06-21 11:30:00,4,SHELL C.A.P.S.A.,-24.191972,-65.302298,"{""type"":""Point"",""coordinates"":[-65.302298,-24.191972]}"
2025-06,3132,30-52152278-6,DANIEL A SOLER Y OTROS SOC DE HECHO,"RUTA PROVINCIAL 65 KM 86,5",DAIREAUX,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1652.0,2025-06-25 12:14:00,4,SHELL C.A.P.S.A.,-36.55256,-61.73602,"{""type"":""Point"",""coordinates"":[-61.73602,-36.55256]}"
2025-12,5054,30-55918381-0,FRONTANI HNOS,EL CALLAO 1340,GRAND BOURG,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1856.0,2025-12-11 11:12:00,6,DAPSA S.A.,-34.487603,-58.725292,"{""type"":""Point"",""coordinates"":[-58.725292,-34.487603]}"
2025-06,1027,30-67877449-5,OPEESA,LAS MAGNOLIAS Y RUTA PANAMERICANA KM 50.500,PILAR,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1258.0,2025-06-01 00:00:00,2,YPF,-34.44559,-58.87076,"{""type"":""Point"",""coordinates"":[-58.87076,-34.44559]}"
2025-08,8256,30-71204299-7,DON PEDRO JUAN DE GENERAL ALVEAR S.A.,PTE PERON 852,GRAL. ALVEAR,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1372.0,2025-08-04 15:00:00,6,DAPSA S.A.,-36.021045,-60.015233,"{""type"":""Point"",""coordinates"":[-60.015233,-36.021045]}"
2025-11,4805,30-65804155-6,CAVIRAMA S.R.L.,Av. H. Yrigoyen 435,SAN SALVADOR DE JUJUY,JUJUY,NOA,6,GNC,3,Nocturno,898.0,2025-11-06 01:31:00,4,SHELL C.A.P.S.A.,-24.19057,-65.29541,"{""type"":""Point"",""coordinates"":[-65.29541,-24.19057]}"
2025-05,1799,20-08629639-0,NORBERTO MALVAREZ,SAN MARTIN 1024,FLORENCIO VARELA,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1269.0,2025-05-05 12:55:00,1,BLANCA,-34.78488,-58.27874,"{""type"":""Point"",""coordinates"":[-58.27874,-34.78488]}"
2025-03,9067,30-71406845-4,RAIMON SRL,RUTA 301 KM 0,SAN MIGUEL DE TUCUMAN,TUCUMAN,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1236.0,2025-03-05 17:06:00,8,REFINOR,-26.834157,-65.259706,"{""type"":""Point"",""coordinates"":[-65.259706,-26.834157]}"
2025-06,2651,30-70832141-5,MAELHO SRL,AV. LOS INMIGRANTES 10,ALDEA SAN ANTONIO,ENTRE RIOS,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1365.0,2025-06-02 14:24:00,4,SHELL C.A.P.S.A.,-32.629586,-58.701579,"{""type"":""Point"",""coordinates"":[-58.701579,-32.629586]}"
2025-06,10115,30-71702232-3,DILEK SAS,Av. 12 de Octubre 1830,SAN CARLOS DE BARILOCHE,RIO NEGRO,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1114.0,2025-06-23 06:45:00,28,PUMA,-41.132374,-71.284091,"{""type"":""Point"",""coordinates"":[-71.284091,-41.132374]}"
2025-06,7583,30-70937771-6,COMBUSTIBLES NICOLLS,tuta 7 km  201,CHACABUCO,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1480.0,2025-06-01 00:00:00,2,YPF,-34.62284,-60.42371,"{""type"":""Point"",""coordinates"":[-60.42371,-34.62284]}"
2025-07,622,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,DALMACIO VELEZ Y COPIAPO,LA RIOJA,LA RIOJA,NOA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1333.0,2025-07-20 00:00:00,2,YPF,-29.41638,-66.86009,"{""type"":""Point"",""coordinates"":[-66.86009,-29.41638]}"
2025-09,8280,30-71439134-4,FOLGEN SA,Angel T de Alvear 377,DON TORCUATO,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1483.0,2025-09-11 10:42:00,4,SHELL C.A.P.S.A.,-34.500768,-58.643442,"{""type"":""Point"",""coordinates"":[-58.643442,-34.500768]}"
2025-06,709,30-59284499-7,SILVIO DERKA E HIJOS S.C.C.,SAN MARTIN 600,JUAN JOSE CASTELLI,CHACO,NEA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1266.0,2025-06-01 00:00:00,2,YPF,-25.9463,-60.61833,"{""type"":""Point"",""coordinates"":[-60.61833,-25.9463]}"
2025-06,240,30-57652766-3,ANIBAL L Y JUAN C. MASSA,AV SAN MARTIN 217,AMEGHINO,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1480.0,2025-06-01 00:00:00,2,YPF,-34.84565,-62.46596,"{""type"":""Point"",""coordinates"":[-62.46596,-34.84565]}"
2025-06,9767,30-69090084-6,RUMIGAS S.R.L.,J. B. ALBERDI 840,PUEBLO ESTHER,SANTA FE,,19,Gas Oil Grado 2,2,Diurno,1277.0,2025-06-01 00:00:00,1,BLANCA,-33.069943,-60.582896,"{""type"":""Point"",""coordinates"":[-60.582896,-33.069943]}"
2025-06,6409,30-70719926-8,NUEVO HORIZONTE S.R.L.,SAN MARTIN 950,QUITILIPI,CHACO,NEA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1266.0,2025-06-01 00:00:00,2,YPF,-26.86644,-60.21504,"{""type"":""Point"",""coordinates"":[-60.21504,-26.86644]}"
2025-06,7643,33-71105598-9,TONIN HRNOS S.R.L.,SAN MARTIN 1115,ARROYO SECO,SANTA FE,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1454.0,2025-06-01 00:00:00,2,YPF,-33.15202,-60.51637,"{""type"":""Point"",""coordinates"":[-60.51637,-33.15202]}"
2025-06,2127,30-58272721-6,NUEVOS RUMBOS SC,AV CONSTITUCION 7850,MAR DEL PLATA,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1464.0,2025-06-01 00:00:00,2,YPF,-37.95124,-57.58251,"{""type"":""Point"",""coordinates"":[-57.58251,-37.95124]}"
2025-08,6823,27-26461358-8,ZAMPAR MARIA CRISTINA,RUTA 34 M 387,CERES,SANTA FE,CENTRO,19,Gas Oil Grado 2,2,Diurno,1572.0,2025-08-14 08:27:00,4,SHELL C.A.P.S.A.,-29.880206,-61.932688,"{""type"":""Point"",""coordinates"":[-61.932688,-29.880206]}"
2025-08,10752,30-58829538-5,BASES SA,SAN MARTIN 1206,NEUQUEN,NEUQUEN,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1250.0,2025-08-20 15:00:00,30,VOY,-38.95511,-68.076098,"{""type"":""Point"",""coordinates"":[-68.076098,-38.95511]}"
2025-06,2666,30-70238033-9,DANOVIS S.A. (EX-VARGIU NOELIA Y OTROS S.H.),AV. FRANCISCO DE AGUIRRE 598,S.M. DE TUCUMAN,TUCUMAN,CUYO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1256.0,2025-06-01 00:00:00,2,YPF,-26.794814,-65.197595,"{""type"":""Point"",""coordinates"":[-65.197595,-26.794814]}"
2025-07,831,30-59799780-5,ALBERTO J. DICHIARA S.R.L.,AVDA. SAM MARTIN 1295,CHAÑAR LADEADO,SANTA FE,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1647.0,2025-07-03 12:30:00,4,SHELL C.A.P.S.A.,-33.316667,-62.035824,"{""type"":""Point"",""coordinates"":[-62.035824,-33.316667]}"
2025-05,7519,30-70851389-6,PORTAL DEL LAGO S.R.L.,AVDA. PTE. ILLIA Y DIAMANTE 899,CONCORDIA,ENTRE RIOS,CENTRO,21,Gas Oil Grado 3,3,Nocturno,1579.0,2025-05-07 10:36:00,1,BLANCA,-31.37174,-58.03056,"{""type"":""Point"",""coordinates"":[-58.03056,-31.37174]}"
2025-06,9185,30-71506873-3,COMBUSTIBLES CANNING SA,RUTA 58 N° 10500 (FRENTE AL LAUQUEN CLUB DE CAMPO),GUERNICA,BUENOS AIRES,,19,Gas Oil Grado 2,3,Nocturno,1219.0,2025-06-01 00:00:00,2,YPF,-34.932286,-58.485502,"{""type"":""Point"",""coordinates"":[-58.485502,-34.932286]}"
2025-10,9932,33-71636610-9,PETRO RYS S.R.L.,RUTA 90 KM 67 700,MAXIMO PAZ,SANTA FE,,3,Nafta (premium) de más de 95 Ron,2,Diurno,1944.0,2025-10-06 15:28:00,1,BLANCA,-33.49353,-60.94884,"{""type"":""Point"",""coordinates"":[-60.94884,-33.49353]}"
2025-05,749,30-52246467-4,SERVI SUR S.R.L.,BATALLA DE AYACUCHO 3640,ROSARIO,SANTA FE,CENTRO,19,Gas Oil Grado 2,3,Nocturno,1287.0,2025-05-02 14:00:00,28,PUMA,-32.981257,-60.635845,"{""type"":""Point"",""coordinates"":[-60.635845,-32.981257]}"
2025-07,764,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,RUTA 2 KILÓMETRO 210,DOLORES,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1517.0,2025-07-20 00:00:00,2,YPF,-36.31655,-57.69864,"{""type"":""Point"",""coordinates"":[-57.69864,-36.31655]}"
2025-11,8211,30-62587888-4,OSALPA S.A,AV. LA PLATA Nº 1144,QUILMES,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1590.0,2025-11-01 13:18:00,4,SHELL C.A.P.S.A.,-34.732432,-58.280298,"{""type"":""Point"",""coordinates"":[-58.280298,-34.732432]}"
2025-08,8455,30-71490308-6,J.M. PONCE S.R.L.,RUTA  158 KM 284  Y   FCO. MUÑIZ 2600,LAS HIGUERAS,CORDOBA,CENTRO,6,GNC,3,Nocturno,799.0,2025-08-01 06:00:00,26,AXION,-33.0928,-64.30725,"{""type"":""Point"",""coordinates"":[-64.30725,-33.0928]}"
2025-07,6880,30-70848125-0,CHIQUI GARCÍA SRL,AVDA SAN LORENZO (OESTE) 1049,CONCORDIA,ENTRE RIOS,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1598.0,2025-07-02 14:00:00,26,AXION,-31.38156,-58.03704,"{""type"":""Point"",""coordinates"":[-58.03704,-31.38156]}"
2025-08,9349,30-71573214-5,MAXFA SA,ISIDORO BUSQUET 650,JUNIN,MENDOZA,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1578.0,2025-08-01 13:18:00,26,AXION,-33.099372,-68.478646,"{""type"":""Point"",""coordinates"":[-68.478646,-33.099372]}"
2025-06,6677,30-67268876-7,CARGO SRL,RUTA 7 - PQUE. INDUSTRIAL,CENTENARIO,NEUQUEN,PATAGONIA,21,Gas Oil Grado 3,3,Nocturno,1672.0,2025-06-20 22:33:00,28,PUMA,-38.84725,-68.12222,"{""type"":""Point"",""coordinates"":[-68.12222,-38.84725]}"
2025-06,2910,30-58643828-6,ACAPULCO SOC. DE HECHO,RUTA 205 KM. 57.500,CAÑUELAS,BUENOS AIRES,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1215.0,2025-06-01 00:00:00,2,YPF,-34.9998,-58.69938,"{""type"":""Point"",""coordinates"":[-58.69938,-34.9998]}"
2025-08,3715,30-63776900-2,ROCCA COMBUSTIBLES S.A.,AV. ENTRE RIOS 1803,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1656.0,2025-08-14 18:34:00,4,SHELL C.A.P.S.A.,-34.62963,-58.39123,"{""type"":""Point"",""coordinates"":[-58.39123,-34.62963]}"
2025-08,9376,30-57166603-7,CAPPRI HNOS. S.H.,Marcos Ciani 2118,VENADO TUERTO,SANTA FE,,19,Gas Oil Grado 2,3,Nocturno,1506.0,2025-08-06 08:15:00,4,SHELL C.A.P.S.A.,-33.739393,-61.986612,"{""type"":""Point"",""coordinates"":[-61.986612,-33.739393]}"
2025-06,8688,30-58882649-6,LA ROTONDA S.R.L,MANZANA 649 LOTE 1,SIERRA GRANDE,RIO NEGRO,PATAGONIA,19,Gas Oil Grado 2,3,Nocturno,1256.0,2025-06-01 00:00:00,2,YPF,-41.599955,-65.355309,"{""type"":""Point"",""coordinates"":[-65.355309,-41.599955]}"
2025-06,1583,30-70124989-1,CAAGUAZÚ GAS S.A.,EVA PERÓN 5395,LANUS,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1459.0,2025-06-01 00:00:00,2,YPF,-34.73845,-58.34818,"{""type"":""Point"",""coordinates"":[-58.34818,-34.73845]}"
2025-07,3908,30-59469274-4,LA CONSTRUCTORA S.A.,SANTA FE 402,SALTA,SALTA,NOA,19,Gas Oil Grado 2,3,Nocturno,1469.0,2025-07-02 15:15:00,26,AXION,-24.79548,-65.40486,"{""type"":""Point"",""coordinates"":[-65.40486,-24.79548]}"
2025-06,4463,30-69613100-3,PETROLFE S.A.,Av.San Juan 2901,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1186.0,2025-06-01 00:00:00,2,YPF,-34.62408,-58.40604,"{""type"":""Point"",""coordinates"":[-58.40604,-34.62408]}"
2025-06,1660,30-64156462-8,FAVINI S.A.,AV GENERAL PAZ 7199,SANTA FE,SANTA FE,CENTRO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1454.0,2025-06-01 00:00:00,2,YPF,-31.60608,-60.67635,"{""type"":""Point"",""coordinates"":[-60.67635,-31.60608]}"
2025-08,7678,20-11251613-2,BOSSI ALDO JUAN,Av. 2 Nº 369,MERCEDES,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1499.0,2025-08-04 17:45:00,4,SHELL C.A.P.S.A.,-34.661074,-59.429048,"{""type"":""Point"",""coordinates"":[-59.429048,-34.661074]}"
2025-07,948,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,F. DE LA PLAZA 1733,MIRAMAR,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1615.0,2025-07-20 00:00:00,2,YPF,-38.264117,-57.839717,"{""type"":""Point"",""coordinates"":[-57.839717,-38.264117]}"
2025-09,10327,30-57166603-7,CAPPDAN S.A.,RUTA 9 NORTE KM 759.2,SINSACATE,CORDOBA,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1828.0,2025-09-08 09:48:00,4,SHELL C.A.P.S.A.,-30.933059,-64.076766,"{""type"":""Point"",""coordinates"":[-64.076766,-30.933059]}"
2025-06,153,30-54318885-5,ESTACION DE SERVICIO GRAL LAS HERAS SRL,ROCA 518,LAS HERAS,MENDOZA,CUYO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1185.0,2025-06-01 00:00:00,2,YPF,-32.85188,-68.84037,"{""type"":""Point"",""coordinates"":[-68.84037,-32.85188]}"
2025-08,11094,30-71109121-8,DANIEL A. SOLER Y HNOS SA,"RUTA 65 KM 336,7",DAIREAUX,BUENOS AIRES,,21,Gas Oil Grado 3,2,Diurno,1684.0,2025-08-06 01:54:00,4,SHELL C.A.P.S.A.,-36.56653,-61.75135,"{""type"":""Point"",""coordinates"":[-61.75135,-36.56653]}"
2025-06,1792,30-54492585-3,HIJOS DE OVIDIO RAMIREZ SCACIF,BV.SARMIENTO Y 25 DE MAYO,VICTORIA,ENTRE RIOS,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1454.0,2025-06-01 00:00:00,2,YPF,-32.61136,-60.16368,"{""type"":""Point"",""coordinates"":[-60.16368,-32.61136]}"
2025-03,4503,30-70761383-8,PETRO ITATI S.A.,RUTA NACIONAL Nº 12 KM. 1090 (acceso a Itati),ITATI,CORRIENTES,NEA,21,Gas Oil Grado 3,3,Nocturno,1628.0,2025-03-15 10:09:00,26,AXION,-27.350032,-58.23466,"{""type"":""Point"",""coordinates"":[-58.23466,-27.350032]}"
2025-10,1633,30-66229999-1,KAIULANI S.A.,AV. ANTARTIDA ARGENTINA 685,TURDERA,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1742.0,2025-10-28 15:30:00,26,AXION,-34.792446,-58.414598,"{""type"":""Point"",""coordinates"":[-58.414598,-34.792446]}"
2025-06,2251,30-66562887-2,ROJAS GNC S.R.L.,RUTA 188 KM. 110,ROJAS,BUENOS AIRES,PAMPEANA,19,Gas Oil Grado 2,3,Nocturno,1414.0,2025-06-23 15:19:00,28,PUMA,-34.20049,-60.71676,"{""type"":""Point"",""coordinates"":[-60.71676,-34.20049]}"
2025-09,2678,30-69524367-3,YAPAY NEASA S.R.L.,AV. BALBIN 3560,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,19,Gas Oil Grado 2,2,Diurno,1464.0,2025-09-15 11:56:00,4,SHELL C.A.P.S.A.,-34.55629,-58.48091,"{""type"":""Point"",""coordinates"":[-58.48091,-34.55629]}"
2025-10,6239,30-70903601-3,PLAZOLETA S.R.L.,URQUIZA 524,SAN SALVADOR DE JUJUY,JUJUY,NOA,21,Gas Oil Grado 3,2,Diurno,1799.0,2025-10-16 15:38:00,1,BLANCA,-24.183333,-65.300431,"{""type"":""Point"",""coordinates"":[-65.300431,-24.183333]}"
2025-06,4029,33-65333525-9,JONTE 3386 SRL,JONTE 3386,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1186.0,2025-06-01 00:00:00,2,YPF,-34.61129,-58.48989,"{""type"":""Point"",""coordinates"":[-58.48989,-34.61129]}"
2025-06,8915,30-68168557-6,NEDER Y ROJO SRL,BALCARCE 61 SUR,SANTA LUCIA,SAN JUAN,CUYO,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1454.0,2025-06-01 00:00:00,2,YPF,-31.53489,-68.466462,"{""type"":""Point"",""coordinates"":[-68.466462,-31.53489]}"
2025-07,799,30-50014329-7,AUTOMOVIL CLUB ARGENTINO,AV. MITRE Y 9 DE JULIO,AVELLANEDA,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1534.0,2025-07-20 00:00:00,2,YPF,-34.6639,-58.36282,"{""type"":""Point"",""coordinates"":[-58.36282,-34.6639]}"
2025-07,476,30-50014329-7,AUTOMÓVIL CLUB ARGENTINO,RUTA NAC. N° 8 - KM. N° 455,CANALS,CORDOBA,CENTRO,21,Gas Oil Grado 3,2,Diurno,1503.0,2025-07-20 00:00:00,2,YPF,-33.53326,-62.86858,"{""type"":""Point"",""coordinates"":[-62.86858,-33.53326]}"
2025-06,2365,30-51913014-5,AMÉRICO STUYCK SRL,Las Heras 110,HERNANDO,CORDOBA,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1284.0,2025-06-01 00:00:00,2,YPF,-32.43005,-63.73131,"{""type"":""Point"",""coordinates"":[-63.73131,-32.43005]}"
2025-06,7580,30-67877449-5,OPESSA,RUTA NACIONAL 7  KM 246,JUNIN,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,2,Diurno,1480.0,2025-06-01 00:00:00,2,YPF,-34.65749,-60.84512,"{""type"":""Point"",""coordinates"":[-60.84512,-34.65749]}"
2025-06,887,30-67877449-5,OPESSA,RUTA 9 KM 36.5 LADO PILAR,TORTUGUITAS,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,2,Diurno,1425.0,2025-06-01 00:00:00,2,YPF,-34.45624,-58.72334,"{""type"":""Point"",""coordinates"":[-58.72334,-34.45624]}"
2025-06,1583,30-70124989-1,CAAGUAZÚ GAS S.A.,EVA PERÓN 5395,LANUS,BUENOS AIRES,PAMPEANA,21,Gas Oil Grado 3,3,Nocturno,1401.0,2025-06-01 00:00:00,2,YPF,-34.73845,-58.34818,"{""type"":""Point"",""coordinates"":[-58.34818,-34.73845]}"
